context,checkpoint_file,run_id,task_id,chunk_index,documento,agent_id,model,ok,failure_reason,truncated,final_estados,would_have_been_accepted_without_cut
checkpoints,checkpoints/chunked-04210f062b48.checkpoint.json,chunked-04210f062b48,task-d6fc337d5f3e,0,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-04210f062b48.checkpoint.json,chunked-04210f062b48,task-84d4759c796c,1,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-04210f062b48.checkpoint.json,chunked-04210f062b48,task-0ecf0d6e5fe7,2,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-04210f062b48.checkpoint.json,chunked-04210f062b48,task-63329dccf91d,3,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-04210f062b48.checkpoint.json,chunked-04210f062b48,task-cdce42b4dd26,4,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-04c431b29c1a.checkpoint.json,chunked-04c431b29c1a,task-d7ffe7279bce,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,False,schema_validation_failed,False,21_CFR_11.10(a)=evidencia_insuficiente | 21_CFR_11.10(d)=cumple_parcialmente | 21_CFR_11.10(e)=evidencia_insuficiente | 21_CFR_11.10(g)=evidencia_insuficiente | 21_CFR_11.50_11.70=evidencia_insuficiente | None=None,N/A_fallo_no_truncamiento
checkpoints,checkpoints/chunked-1282d0d84186.checkpoint.json,chunked-1282d0d84186,task-ee6970fa2aff,0,RW-0005,eu_annex11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ANNEX11_4=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-1282d0d84186.checkpoint.json,chunked-1282d0d84186,task-fd478b64e48a,1,RW-0005,eu_annex11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ANNEX11_4=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-1282d0d84186.checkpoint.json,chunked-1282d0d84186,task-a1c1cf4b3307,2,RW-0005,eu_annex11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ANNEX11_4=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-1282d0d84186.checkpoint.json,chunked-1282d0d84186,task-45483d85884c,3,RW-0005,eu_annex11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ANNEX11_4=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-1282d0d84186.checkpoint.json,chunked-1282d0d84186,task-dc8ac7d27466,4,RW-0005,eu_annex11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ANNEX11_4=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2114e7f403b2.checkpoint.json,chunked-2114e7f403b2,task-9f7c15d2e674,0,RW-0012,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2678358a06b3.checkpoint.json,chunked-2678358a06b3,task-0004e47eb9cf,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=cumple_parcialmente,N/A_no_truncado
